Requirement_ID,Article,Title,Parent,Requirement Text,References,Page
chapter_02_article 6_req2.,Article 6,Distance sales,," Without prejudice to national law regarding the exercise of the medical profession, a device that is not placed on the market but used in the context of a commercial activity, whether in return for payment or free of charge, for the provision of a diagnostic or therapeutic service offered by means of information society services as defined in point (b) of Article 1(1) of Directive (EU) 2015/1535 or by other means of communication, directly or through intermediaries, to a natural or legal person established in the Union shall comply with this Regulation.",Article 1,2
chapter_02_article 6_req3.,Article 6,Distance sales,," Upon request by a competent authority, any natural or legal person offering a device in accordance with paragraph 1 or providing a service in accordance with paragraph 2 shall make available a copy of the EU declaration of conformity of the device concerned.",,2
chapter_02_article 6_req4.,Article 6,Distance sales,," A Member State may, on grounds of protection of public health, require a provider of information society services, as defined in point (b) of Article 1(1) of Directive (EU) 2015/1535, to cease its activity.",Article 1,2
chapter_02_article 8_req1.,Article 8,Use of harmonised standards,," Devices that are in conformity with the relevant harmonised standards, or the relevant parts of those standards, the references of which have been published in the Official Journal of the European Union, shall be presumed to be in conformity with the requirements of this Regulation covered by those standards or parts thereof. The first subparagraph shall also apply to system or process requirements to be fulfilled in accordance with this Regulation by economic operators or sponsors, including those relating to quality management systems, risk management, post-market surveillance systems, clinical investigations, clinical evaluation or post-market clinical follow-up (‘PMCF’). References in this Regulation to harmonised standards shall be understood as meaning harmonised standards the references of which have been published in the Official Journal of the European Union.",,2
chapter_02_article 8_req2.,Article 8,Use of harmonised standards,," References in this Regulation to harmonised standards shall also include the monographs of the European Pharma­ copoeia adopted in accordance with the Convention on the Elaboration of a European Pharmacopoeia, in particular on surgical sutures and on interaction between medicinal products and materials used in devices containing such medicinal products, provided that references to those monographs have been published in the Official Journal of the European Union. L 117/22",,2
chapter_02_article 9_req1.,Article 9,Common specifications,," Without prejudice to Article 1(2) and 17(5) and the deadline laid down in those provisions, where no harmonised standards exist or where relevant harmonised standards are not sufficient, or where there is a need to address public health concerns, the Commission, after having consulted the MDCG, may, by means of implementing acts, adopt common specifications (CS) in respect of the general safety and performance requirements set out in Annex I, the technical documentation set out in Annexes II and III, the clinical evaluation and post-market clinical follow-up set out in Annex XIV or the requirements regarding clinical investigation set out in Annex XV. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 114(3).",Article 1; Annex I; Annex XIV; Annex XV; Article 114,3
chapter_02_article 9_req2.,Article 9,Common specifications,, Devices that are in conformity with the CS referred to in paragraph 1 shall be presumed to be in conformity with the requirements of this Regulation covered by those CS or the relevant parts of those CS.,,3
chapter_02_article 9_req3.,Article 9,Common specifications,, Manufacturers shall comply with the CS referred to in paragraph 1 unless they can duly justify that they have adopted solutions that ensure a level of safety and performance that is at least equivalent thereto.,,3
chapter_02_article 9_req4.,Article 9,Common specifications,," Notwithstanding paragraph 3, manufacturers of products listed in Annex XVI shall comply with the relevant CS for those products.",Annex XVI,3
chapter_02_article 10_req1.,Article 10,General obligations of manufacturers,," When placing their devices on the market or putting them into service, manufacturers shall ensure that they have been designed and manufactured in accordance with the requirements of this Regulation.",,3
chapter_02_article 10_req2.,Article 10,General obligations of manufacturers,," Manufacturers shall establish, document, implement and maintain a system for risk management as described in Section 3 of Annex I.",Annex I,3
chapter_02_article 10_req3.,Article 10,General obligations of manufacturers,," Manufacturers shall conduct a clinical evaluation in accordance with the requirements set out in Article 61 and Annex XIV, including a PMCF.",Article 61; Annex XIV,3
chapter_02_article 10_req4.,Article 10,General obligations of manufacturers,," Manufacturers of devices other than custom-made devices shall draw up and keep up to date technical documen­ tation for those devices. The technical documentation shall be such as to allow the conformity of the device with the requirements of this Regulation to be assessed. The technical documentation shall include the elements set out in Annexes II and III. The Commission is empowered to adopt delegated acts in accordance with Article 115 amending, in the light of technical progress, the Annexes II and III.",Article 115,3
chapter_02_article 10_req5.,Article 10,General obligations of manufacturers,," Manufacturers of custom-made devices shall draw up, keep up to date and keep available for competent authorities documentation in accordance with Section 2 of Annex XIII.",Annex XIII,3
chapter_02_article 10_req6.,Article 10,General obligations of manufacturers,," Where compliance with the applicable requirements has been demonstrated following the applicable conformity assessment procedure, manufacturers of devices, other than custom-made or investigational devices, shall draw up an EU declaration of conformity in accordance with Article 19, and affix the CE marking of conformity in accordance with Article 20.",Article 19; Article 20,3
chapter_02_article 10_req7.,Article 10,General obligations of manufacturers,, Manufacturers shall comply with the obligations relating to the UDI system referred to in Article 27 and with the registration obligations referred to in Articles 29 and 31.,Article 27,3
chapter_02_article 10_req8.,Article 10,General obligations of manufacturers,," Manufacturers shall keep the technical documentation, the EU declaration of conformity and, if applicable, a copy of any relevant certificate, including any amendments and supplements, issued in accordance with Article 56, available for the competent authorities for a period of at least 10 years after the last device covered by the EU declaration of conformity has been placed on the market. In the case of implantable devices, the period shall be at least 15 years after the last device has been placed on the market. Upon request by a competent authority, the manufacturer shall, as indicated therein, provide that technical documen­ tation in its entirety or a summary thereof. A manufacturer with a registered place of business outside the Union shall, in order to allow its authorised representative to fulfil the tasks mentioned in Article 11(3), ensure that the authorised representative has the necessary documentation permanently available. L 117/23",Article 56; Article 11,3
