id,type,title,text,parent,references,page
mdr+chapter_II+article_7+req_noid,req,,"In the labelling, instructions for use, making available, putting into service and advertising of devices, it shall be 
prohibited to use text, names, trademarks, pictures and figurative or other signs that may mislead the user or the patient 
with regard to the device's intended purpose, safety and performance by: ",mdr+chapter_II+article_7,,2
mdr+chapter_II+article_7+req_noid+sreq_a,sreq,,ascribing functions and properties to the device which the device does not have; ,mdr+chapter_II+article_7+req_noid,,2
mdr+chapter_II+article_7+req_noid+sreq_b,sreq,,"creating a false impression regarding treatment or diagnosis, functions or properties which the device does not have; ",mdr+chapter_II+article_7+req_noid,,2
mdr+chapter_II+article_7+req_noid+sreq_c,sreq,,"failing to inform the user or the patient of a likely risk associated with the use of the device in line with its intended 
purpose; ",mdr+chapter_II+article_7+req_noid,,2
mdr+chapter_II+article_7+req_noid+sreq_d,sreq,,"suggesting uses for the device other than those stated to form part of the intended purpose for which the 
conformity assessment was carried out. ",mdr+chapter_II+article_7+req_noid,,2
mdr+chapter_II+article_8,article,Use of harmonised standards ,Use of harmonised standards ,mdr+chapter_II,,2
mdr+chapter_II+article_8+req_1,req,,"
Devices that are in conformity with the relevant harmonised standards, or the relevant parts of those standards, 
the references of which have been published in the Official Journal of the European Union, shall be presumed to be in 
conformity with the requirements of this Regulation covered by those standards or parts thereof. 
The first subparagraph shall also apply to system or process requirements to be fulfilled in accordance with this 
Regulation by economic operators or sponsors, including those relating to quality management systems, risk 
management, post-market surveillance systems, clinical investigations, clinical evaluation or post-market clinical 
follow-up (‘PMCF’). 
References in this Regulation to harmonised standards shall be understood as meaning harmonised standards the 
references of which have been published in the Official Journal of the European Union. ",mdr+chapter_II+article_8,,2
mdr+chapter_II+article_8+req_2,req,,"
References in this Regulation to harmonised standards shall also include the monographs of the European Pharma­
copoeia adopted in accordance with the Convention on the Elaboration of a European Pharmacopoeia, in particular on 
surgical sutures and on interaction between medicinal products and materials used in devices containing such medicinal 
products, provided that references to those monographs have been published in the Official Journal of the European Union. 
L 117/22 
",mdr+chapter_II+article_8,,2
mdr+chapter_II+article_9,article,Common specifications ,Common specifications ,mdr+chapter_II,,3
mdr+chapter_II+article_9+req_1,req,,"
Without prejudice to Article 1(2) and 17(5) and the deadline laid down in those provisions, where no harmonised 
standards exist or where relevant harmonised standards are not sufficient, or where there is a need to address public 
health concerns, the Commission, after having consulted the MDCG, may, by means of implementing acts, adopt 
common specifications (CS) in respect of the general safety and performance requirements set out in Annex I, the 
technical documentation set out in Annexes II and III, the clinical evaluation and post-market clinical follow-up set out 
in Annex XIV or the requirements regarding clinical investigation set out in Annex XV. Those implementing acts shall be 
adopted in accordance with the examination procedure referred to in Article 114(3). ",mdr+chapter_II+article_9,Article 1; Annex I; Annex XIV; Annex XV; Article 114,3
mdr+chapter_II+article_9+req_2,req,,"
Devices that are in conformity with the CS referred to in paragraph 1 shall be presumed to be in conformity with 
the requirements of this Regulation covered by those CS or the relevant parts of those CS. ",mdr+chapter_II+article_9,,3
mdr+chapter_II+article_9+req_3,req,,"
Manufacturers shall comply with the CS referred to in paragraph 1 unless they can duly justify that they have 
adopted solutions that ensure a level of safety and performance that is at least equivalent thereto. ",mdr+chapter_II+article_9,,3
mdr+chapter_II+article_9+req_4,req,,"
Notwithstanding paragraph 3, manufacturers of products listed in Annex XVI shall comply with the relevant CS 
for those products. ",mdr+chapter_II+article_9,Annex XVI,3
mdr+chapter_II+article_10,article,General obligations of manufacturers ,General obligations of manufacturers ,mdr+chapter_II,,3
mdr+chapter_II+article_10+req_1,req,,"
When placing their devices on the market or putting them into service, manufacturers shall ensure that they have 
been designed and manufactured in accordance with the requirements of this Regulation. ",mdr+chapter_II+article_10,,3
mdr+chapter_II+article_10+req_2,req,,"
Manufacturers shall establish, document, implement and maintain a system for risk management as described in 
Section 3 of Annex I. ",mdr+chapter_II+article_10,Annex I,3
mdr+chapter_II+article_10+req_3,req,,"
Manufacturers shall conduct a clinical evaluation in accordance with the requirements set out in Article 61 and 
Annex XIV, including a PMCF. ",mdr+chapter_II+article_10,Article 61; Annex XIV,3
mdr+chapter_II+article_10+req_4,req,,"
Manufacturers of devices other than custom-made devices shall draw up and keep up to date technical documen­
tation for those devices. The technical documentation shall be such as to allow the conformity of the device with the 
requirements of this Regulation to be assessed. The technical documentation shall include the elements set out in 
Annexes II and III. 
The Commission is empowered to adopt delegated acts in accordance with Article 115 amending, in the light of 
technical progress, the Annexes II and III. ",mdr+chapter_II+article_10,Article 115,3
mdr+chapter_II+article_10+req_5,req,,"
Manufacturers of custom-made devices shall draw up, keep up to date and keep available for competent authorities 
documentation in accordance with Section 2 of Annex XIII. ",mdr+chapter_II+article_10,Annex XIII,3
mdr+chapter_II+article_10+req_6,req,,"
Where compliance with the applicable requirements has been demonstrated following the applicable conformity 
assessment procedure, manufacturers of devices, other than custom-made or investigational devices, shall draw up an EU 
declaration of conformity in accordance with Article 19, and affix the CE marking of conformity in accordance with 
Article 20. ",mdr+chapter_II+article_10,Article 19; Article 20,3
mdr+chapter_II+article_10+req_7,req,,"
Manufacturers shall comply with the obligations relating to the UDI system referred to in Article 27 and with the 
registration obligations referred to in Articles 29 and 31. ",mdr+chapter_II+article_10,Article 27,3
mdr+chapter_II+article_10+req_8,req,,"
Manufacturers shall keep the technical documentation, the EU declaration of conformity and, if applicable, a copy 
of any relevant certificate, including any amendments and supplements, issued in accordance with Article 56, available 
for the competent authorities for a period of at least 10 years after the last device covered by the EU declaration of 
conformity has been placed on the market. In the case of implantable devices, the period shall be at least 15 years after 
the last device has been placed on the market. 
Upon request by a competent authority, the manufacturer shall, as indicated therein, provide that technical documen­
tation in its entirety or a summary thereof. 
A manufacturer with a registered place of business outside the Union shall, in order to allow its authorised representative 
to fulfil the tasks mentioned in Article 11(3), ensure that the authorised representative has the necessary documentation 
permanently available. 
L 117/23 
",mdr+chapter_II+article_10,Article 56; Article 11,3
mdr+chapter_II+article_10+req_9,req,,"
Manufacturers shall ensure that procedures are in place to keep series production in conformity with the 
requirements of this Regulation. Changes in device design or characteristics and changes in the harmonised standards or 
CS by reference to which the conformity of a device is declared shall be adequately taken into account in a timely 
manner. Manufacturers of devices, other than investigational devices, shall establish, document, implement, maintain, 
keep up to date and continually improve a quality management system that shall ensure compliance with this 
Regulation in the most effective manner and in a manner that is proportionate to the risk class and the type of device. 
The quality management system shall cover all parts and elements of a manufacturer's organisation dealing with the 
quality of processes, procedures and devices. It shall govern the structure, responsibilities, procedures, processes and 
management resources required to implement the principles and actions necessary to achieve compliance with the 
provisions of this Regulation. 
The quality management system shall address at least the following aspects: ",mdr+chapter_II+article_10,,4
mdr+chapter_II+article_10+req_9+sreq_a,sreq,,"a strategy for regulatory compliance, including compliance with conformity assessment procedures and procedures 
for management of modifications to the devices covered by the system; ",mdr+chapter_II+article_10+req_9,,4
mdr+chapter_II+article_10+req_9+sreq_b,sreq,,"identification of applicable general safety and performance requirements and exploration of options to address those 
requirements; ",mdr+chapter_II+article_10+req_9,,4
mdr+chapter_II+article_10+req_9+sreq_c,sreq,,responsibility of the management; ,mdr+chapter_II+article_10+req_9,,4
mdr+chapter_II+article_10+req_9+sreq_d,sreq,,"resource management, including selection and control of suppliers and sub-contractors; ",mdr+chapter_II+article_10+req_9,,4
mdr+chapter_II+article_10+req_9+sreq_e,sreq,,risk management as set out in in Section 3 of Annex I; ,mdr+chapter_II+article_10+req_9,Annex I,4
mdr+chapter_II+article_10+req_9+sreq_f,sreq,,"clinical evaluation in accordance with Article 61 and Annex XIV, including PMCF; ",mdr+chapter_II+article_10+req_9,Article 61; Annex XIV,4
mdr+chapter_II+article_10+req_9+sreq_g,sreq,,"product realisation, including planning, design, development, production and service provision; ",mdr+chapter_II+article_10+req_9,,4
mdr+chapter_II+article_10+req_9+sreq_h,sreq,,"verification of the UDI assignments made in accordance with Article 27(3) to all relevant devices and ensuring 
consistency and validity of information provided in accordance with Article 29; ",mdr+chapter_II+article_10+req_9,Article 27; Article 29,4
mdr+chapter_II+article_10+req_9+sreq_h+ssreq_i,ssreq,,"setting-up, implementation and maintenance of a post-market surveillance system, in accordance with Article 83; ",mdr+chapter_II+article_10+req_9+sreq_h,Article 83,4
mdr+chapter_II+article_10+req_9+sreq_j,sreq,,"handling communication with competent authorities, notified bodies, other economic operators, customers and/or 
other stakeholders; ",mdr+chapter_II+article_10+req_9,,4
mdr+chapter_II+article_10+req_9+sreq_k,sreq,,processes for reporting of serious incidents and field safety corrective actions in the context of vigilance; ,mdr+chapter_II+article_10+req_9,,4
mdr+chapter_II+article_10+req_9+sreq_l,sreq,,management of corrective and preventive actions and verification of their effectiveness; ,mdr+chapter_II+article_10+req_9,,4
mdr+chapter_II+article_10+req_9+sreq_m,sreq,,"processes for monitoring and measurement of output, data analysis and product improvement. ",mdr+chapter_II+article_10+req_9,,4
mdr+chapter_II+article_10+req_10,req,,"
Manufacturers of devices shall implement and keep up to date the post-market surveillance system in accordance 
with Article 83. ",mdr+chapter_II+article_10,Article 83,4
mdr+chapter_II+article_10+req_11,req,,"
Manufacturers shall ensure that the device is accompanied by the information set out in Section 23 of Annex I in 
an official Union language(s) determined by the Member State in which the device is made available to the user or 
patient. The particulars on the label shall be indelible, easily legible and clearly comprehensible to the intended user or 
patient. ",mdr+chapter_II+article_10,Annex I,4
mdr+chapter_II+article_10+req_12,req,,"
Manufacturers who consider or have reason to believe that a device which they have placed on the market or put 
into service is not in conformity with this Regulation shall immediately take the necessary corrective action to bring that 
device into conformity, to withdraw it or to recall it, as appropriate. They shall inform the distributors of the device in 
question and, where applicable, the authorised representative and importers accordingly. 
Where the device presents a serious risk, manufacturers shall immediately inform the competent authorities of the 
Member States in which they made the device available and, where applicable, the notified body that issued a certificate 
for the device in accordance with Article 56, in particular, of the non-compliance and of any corrective action taken. ",mdr+chapter_II+article_10,Article 56,4
mdr+chapter_II+article_10+req_13,req,,"
Manufacturers shall have a system for recording and reporting of incidents and field safety corrective actions as 
described in Articles 87 and 88. 
L 117/24 
",mdr+chapter_II+article_10,,4
mdr+chapter_II+article_10+req_14,req,,"
Manufacturers shall, upon request by a competent authority, provide it with all the information and documen­
tation necessary to demonstrate the conformity of the device, in an official Union language determined by the 
Member State concerned. The competent authority of the Member State in which the manufacturer has its registered 
place of business may require that the manufacturer provide samples of the device free of charge or, where that is 
impracticable, grant access to the device. Manufacturers shall cooperate with a competent authority, at its request, on 
any corrective action taken to eliminate or, if that is not possible, mitigate the risks posed by devices which they have 
placed on the market or put into service. 
If the manufacturer fails to cooperate or the information and documentation provided is incomplete or incorrect, the 
competent authority may, in order to ensure the protection of public health and patient safety, take all appropriate 
measures to prohibit or restrict the device's being made available on its national market, to withdraw the device from 
that market or to recall it until the manufacturer cooperates or provides complete and correct information. 
If a competent authority considers or has reason to believe that a device has caused damage, it shall, upon request, 
facilitate the provision of the information and documentation referred to in the first subparagraph to the potentially 
injured patient or user and, as appropriate, the patient's or user's successor in title, the patient's or user's health 
insurance company or other third parties affected by the damage caused to the patient or user, without prejudice to data 
protection rules and, unless there is an overriding public interest in disclosure, without prejudice to the protection of 
intellectual property rights. 
The competent authority need not comply with the obligation laid down in the third subparagraph where disclosure of 
the information and documentation referred to in the first subparagraph is ordinarily dealt with in the context of legal 
proceedings. ",mdr+chapter_II+article_10,,5
mdr+chapter_II+article_10+req_15,req,,"
Where manufacturers have their devices designed or manufactured by another legal or natural person the 
information on the identity of that person shall be part of the information to be submitted in accordance with 
Article 30(1). ",mdr+chapter_II+article_10,Article 30,5
mdr+chapter_II+article_10+req_16,req,,"
Natural or legal persons may claim compensation for damage caused by a defective device in accordance with 
applicable Union and national law. 
Manufacturers shall, in a manner that is proportionate to the risk class, type of device and the size of the enterprise, 
have measures in place to provide sufficient financial coverage in respect of their potential liability under 
Directive 85/374/EEC, without prejudice to more protective measures under national law. ",mdr+chapter_II+article_10,,5
mdr+chapter_II+article_11,article,Authorised representative ,Authorised representative ,mdr+chapter_II,,5
mdr+chapter_II+article_11+req_1,req,,"
Where the manufacturer of a device is not established in a Member State, the device may only be placed on the 
Union market if the manufacturer designates a sole authorised representative. ",mdr+chapter_II+article_11,,5
mdr+chapter_II+article_11+req_2,req,,"
The designation shall constitute the authorised representative's mandate, it shall be valid only when accepted in 
writing by the authorised representative and shall be effective at least for all devices of the same generic device group. ",mdr+chapter_II+article_11,,5
mdr+chapter_II+article_11+req_3,req,,"
The authorised representative shall perform the tasks specified in the mandate agreed between it and the 
manufacturer. The authorised representative shall provide a copy of the mandate to the competent authority, upon 
request. 
The mandate shall require, and the manufacturer shall enable, the authorised representative to perform at least the 
following tasks in relation to the devices that it covers: ",mdr+chapter_II+article_11,,5
mdr+chapter_II+article_11+req_3+sreq_a,sreq,,"verify that the EU declaration of conformity and technical documentation have been drawn up and, where 
applicable, that an appropriate conformity assessment procedure has been carried out by the manufacturer; ",mdr+chapter_II+article_11+req_3,,5
mdr+chapter_II+article_11+req_3+sreq_b,sreq,,"keep available a copy of the technical documentation, the EU declaration of conformity and, if applicable, a copy of 
the relevant certificate, including any amendments and supplements, issued in accordance with Article 56, at the 
disposal of competent authorities for the period referred to in Article 10(8); ",mdr+chapter_II+article_11+req_3,Article 56; Article 10,5
mdr+chapter_II+article_11+req_3+sreq_c,sreq,,"comply with the registration obligations laid down in Article 31 and verify that the manufacturer has complied with 
the registration obligations laid down in Articles 27 and 29; 
L 117/25 
",mdr+chapter_II+article_11+req_3,Article 31,5
mdr+chapter_II+article_11+req_3+sreq_d,sreq,,"in response to a request from a competent authority, provide that competent authority with all the information and 
documentation necessary to demonstrate the conformity of a device, in an official Union language determined by 
the Member State concerned; ",mdr+chapter_II+article_11+req_3,,6
mdr+chapter_II+article_11+req_3+sreq_e,sreq,,"forward to the manufacturer any request by a competent authority of the Member State in which the authorised rep­
resentative has its registered place of business for samples, or access to a device and verify that the competent 
authority receives the samples or is given access to the device; ",mdr+chapter_II+article_11+req_3,,6
mdr+chapter_II+article_11+req_3+sreq_f,sreq,,"cooperate with the competent authorities on any preventive or corrective action taken to eliminate or, if that is not 
possible, mitigate the risks posed by devices; ",mdr+chapter_II+article_11+req_3,,6
mdr+chapter_II+article_11+req_3+sreq_g,sreq,,"immediately inform the manufacturer about complaints and reports from healthcare professionals, patients and 
users about suspected incidents related to a device for which they have been designated; ",mdr+chapter_II+article_11+req_3,,6
mdr+chapter_II+article_11+req_3+sreq_h,sreq,,terminate the mandate if the manufacturer acts contrary to its obligations under this Regulation. ,mdr+chapter_II+article_11+req_3,,6
mdr+chapter_II+article_11+req_4,req,,"
The mandate referred to in paragraph 3 of this Article shall not delegate the manufacturer's obligations laid down 
in Article 10(1), (2), (3), (4), (6), (7), (9), (10), (11) and (12). ",mdr+chapter_II+article_11,Article 10,6
mdr+chapter_II+article_11+req_5,req,,"
Without prejudice to paragraph 4 of this Article, where the manufacturer is not established in a Member State and 
has not complied with the obligations laid down in Article 10, the authorised representative shall be legally liable for 
defective devices on the same basis as, and jointly and severally with, the manufacturer. ",mdr+chapter_II+article_11,Article 10,6
mdr+chapter_II+article_11+req_6,req,,"
An authorised representative who terminates its mandate on the ground referred to in point (h) of paragraph 3 
shall immediately inform the competent authority of the Member State in which it is established and, where applicable, 
the notified body that was involved in the conformity assessment for the device of the termination of the mandate and 
the reasons therefor. ",mdr+chapter_II+article_11,,6
mdr+chapter_II+article_11+req_7,req,,"
Any reference in this Regulation to the competent authority of the Member State in which the manufacturer has 
its registered place of business shall be understood as a reference to the competent authority of the Member State in 
which the authorised representative, designated by a manufacturer referred to in paragraph 1, has its registered place of 
business. ",mdr+chapter_II+article_11,,6
mdr+chapter_II+article_12,article,Change of authorised representative ,Change of authorised representative ,mdr+chapter_II,,6
mdr+chapter_II+article_12+req_noid,req,,"The detailed arrangements for a change of authorised representative shall be clearly defined in an agreement between the 
manufacturer, where practicable the outgoing authorised representative, and the incoming authorised representative. 
That agreement shall address at least the following aspects: ",mdr+chapter_II+article_12,,6
mdr+chapter_II+article_12+req_noid+sreq_a,sreq,,"the date of termination of the mandate of the outgoing authorised representative and date of beginning of the 
mandate of the incoming authorised representative; ",mdr+chapter_II+article_12+req_noid,,6
mdr+chapter_II+article_12+req_noid+sreq_b,sreq,,"the date until which the outgoing authorised representative may be indicated in the information supplied by the 
manufacturer, including any promotional material; ",mdr+chapter_II+article_12+req_noid,,6
mdr+chapter_II+article_12+req_noid+sreq_c,sreq,,"the transfer of documents, including confidentiality aspects and property rights; ",mdr+chapter_II+article_12+req_noid,,6
mdr+chapter_II+article_12+req_noid+sreq_d,sreq,,"the obligation of the outgoing authorised representative after the end of the mandate to forward to the 
manufacturer or incoming authorised representative any complaints or reports from healthcare professionals, 
patients or users about suspected incidents related to a device for which it had been designated as authorised rep­
resentative. ",mdr+chapter_II+article_12+req_noid,,6
mdr+chapter_II+article_13,article,General obligations of importers ,General obligations of importers ,mdr+chapter_II,,6
mdr+chapter_II+article_13+req_1,req,,"
Importers shall place on the Union market only devices that are in conformity with this Regulation. ",mdr+chapter_II+article_13,,6
mdr+chapter_II+article_13+req_2,req,,"
In order to place a device on the market, importers shall verify that: ",mdr+chapter_II+article_13,,6
mdr+chapter_II+article_13+req_2+sreq_a,sreq,,the device has been CE marked and that the EU declaration of conformity of the device has been drawn up; ,mdr+chapter_II+article_13+req_2,,6
mdr+chapter_II+article_13+req_2+sreq_b,sreq,,"a manufacturer is identified and that an authorised representative in accordance with Article 11 has been designated 
by the manufacturer; ",mdr+chapter_II+article_13+req_2,Article 11,6
mdr+chapter_II+article_13+req_2+sreq_c,sreq,,the device is labelled in accordance with this Regulation and accompanied by the required instructions for use; ,mdr+chapter_II+article_13+req_2,,6
mdr+chapter_II+article_13+req_2+sreq_d,sreq,,"where applicable, a UDI has been assigned by the manufacturer in accordance with Article 27. 
L 117/26 

Where an importer considers or has reason to believe that a device is not in conformity with the requirements of this 
Regulation, it shall not place the device on the market until it has been brought into conformity and shall inform the 
manufacturer and the manufacturer's authorised representative. Where the importer considers or has reason to believe 
that the device presents a serious risk or is a falsified device, it shall also inform the competent authority of the 
Member State in which the importer is established. ",mdr+chapter_II+article_13+req_2,Article 27,6
mdr+chapter_II+article_13+req_3,req,,"
Importers shall indicate on the device or on its packaging or in a document accompanying the device their name, 
registered trade name or registered trade mark, their registered place of business and the address at which they can be 
contacted, so that their location can be established. They shall ensure that any additional label does not obscure any 
information on the label provided by the manufacturer. ",mdr+chapter_II+article_13,,7
mdr+chapter_II+article_13+req_4,req,,"
Importers shall verify that the device is registered in the electronic system in accordance with Article 29. Importers 
shall add their details to the registration in accordance with Article 31. ",mdr+chapter_II+article_13,Article 29; Article 31,7
mdr+chapter_II+article_13+req_5,req,,"
Importers shall ensure that, while a device is under their responsibility, storage or transport conditions do not 
jeopardise its compliance with the general safety and performance requirements set out in Annex I and shall comply 
with the conditions set by the manufacturer, where available. ",mdr+chapter_II+article_13,Annex I,7
mdr+chapter_II+article_13+req_6,req,,"
Importers shall keep a register of complaints, of non-conforming devices and of recalls and withdrawals, and 
provide the manufacturer, authorised representative and distributors with any information requested by them, in order 
to allow them to investigate complaints. ",mdr+chapter_II+article_13,,7
mdr+chapter_II+article_13+req_7,req,,"
Importers who consider or have reason to believe that a device which they have placed on the market is not in 
conformity with this Regulation shall immediately inform the manufacturer and its authorised representative. Importers 
shall co-operate with the manufacturer, the manufacturer's authorised representative and the competent authorities to 
ensure that the necessary corrective action to bring that device into conformity, to withdraw or recall it is taken. Where 
the device presents a serious risk, they shall also immediately inform the competent authorities of the Member States in 
which they made the device available and, if applicable, the notified body that issued a certificate in accordance with 
Article 56 for the device in question, giving details, in particular, of the non-compliance and of any corrective action 
taken. ",mdr+chapter_II+article_13,Article 56,7
mdr+chapter_II+article_13+req_8,req,,"
Importers who have received complaints or reports from healthcare professionals, patients or users about 
suspected incidents related to a device which they have placed on the market shall immediately forward this information 
to the manufacturer and its authorised representative. ",mdr+chapter_II+article_13,,7
mdr+chapter_II+article_13+req_9,req,,"
Importers shall, for the period referred to in Article 10(8), keep a copy of the EU declaration of conformity and, if 
applicable, a copy of any relevant certificate, including any amendments and supplements, issued in accordance with 
Article 56. ",mdr+chapter_II+article_13,Article 10; Article 56,7
mdr+chapter_II+article_13+req_10,req,,"
Importers shall cooperate with competent authorities, at the latters' request, on any action taken to eliminate or, 
if that is not possible, mitigate the risks posed by devices which they have placed on the market. Importers, upon 
request by a competent authority of the Member State in which the importer has its registered place of business, shall 
provide samples of the device free of charge or, where that is impracticable, grant access to the device. ",mdr+chapter_II+article_13,,7
mdr+chapter_II+article_14,article,General obligations of distributors ,General obligations of distributors ,mdr+chapter_II,,7
mdr+chapter_II+article_14+req_1,req,,"
When making a device available on the market, distributors shall, in the context of their activities, act with due 
care in relation to the requirements applicable. ",mdr+chapter_II+article_14,,7
mdr+chapter_II+article_14+req_2,req,,"
Before making a device available on the market, distributors shall verify that all of the following requirements are 
met: ",mdr+chapter_II+article_14,,7
mdr+chapter_II+article_14+req_2+sreq_a,sreq,,the device has been CE marked and that the EU declaration of conformity of the device has been drawn up; ,mdr+chapter_II+article_14+req_2,,7
mdr+chapter_II+article_14+req_2+sreq_b,sreq,,the device is accompanied by the information to be supplied by the manufacturer in accordance with Article 10(11); ,mdr+chapter_II+article_14+req_2,Article 10,7
mdr+chapter_II+article_14+req_2+sreq_c,sreq,,"for imported devices, the importer has complied with the requirements set out in Article 13(3); ",mdr+chapter_II+article_14+req_2,Article 13,7
mdr+chapter_II+article_14+req_2+sreq_d,sreq,,"that, where applicable, a UDI has been assigned by the manufacturer. 
In order to meet the requirements referred to in points (a), (b) and (d) of the first subparagraph the distributor may 
apply a sampling method that is representative of the devices supplied by that distributor. 
L 117/27 

Where a distributor considers or has reason to believe that a device is not in conformity with the requirements of this 
Regulation, it shall not make the device available on the market until it has been brought into conformity, and shall 
inform the manufacturer and, where applicable, the manufacturer's authorised representative, and the importer. Where 
the distributor considers or has reason to believe that the device presents a serious risk or is a falsified device, it shall 
also inform the competent authority of the Member State in which it is established. ",mdr+chapter_II+article_14+req_2,,7
